CatId;TemplateId;Name;Levels;FatherNum;Active;CatId;TemplateId;AcctCode;ActId;AcctName
1;6;Ingresos Operacionales;1;0;N;?;?;?;?;?
2;6;Ingresos Operacionales;2;1;N;?;?;?;?;?
3;6;IMPRESIONES Y CORRUGADOS;3;2;N;?;?;?;?;?
4;6;IMPRESION Y CORRUGADO;4;3;N;?;?;?;?;?
5;6;IMPRESION Y CORRUGADO;5;4;N;5;6;41203501;41203501;IMPRESION Y CORRUGADO
6;6;Ingresos Financieros;2;503;N;?;?;?;?;?
7;6;VENTAS OTROS INS.YM.P. NO AGRO;4;15;N;?;?;?;?;?
8;6;VENTAS OTROS INS.YM.P. NO AGRO;5;7;N;8;6;41351601;41351601;REPUESTOS Y ACCESOR.
8;6;VENTAS OTROS INS.YM.P. NO AGRO;5;7;N;8;6;41351602;41351602;OTRAS MATERIAS PRIMAS SIN IVA
8;6;VENTAS OTROS INS.YM.P. NO AGRO;5;7;N;8;6;41351603;41351603;REPUESTOS Y ACCESOR. AL EXTERIOR
9;6;VENTA MAQUINARIA;4;20;N;?;?;?;?;?
10;6;VENTA MAQUINARIA;5;9;N;10;6;41355401;41355401;VENTA MAQUINARIA
10;6;VENTA MAQUINARIA;5;9;N;10;6;41355410;41355410;MAQUINARIA SIN I.V.A.
11;6;VENTA DE EMPAQUES;4;29;N;?;?;?;?;?
12;6;VENTA EMPAQUE;5;11;N;12;6;41356601;41356601;VENTA EMPAQUE
13;6;VENTA DE OTROS PRODUCTOS;4;607;N;?;?;?;?;?
14;6;VENTA DE OTROS PRODUCTOS;5;13;N;14;6;41359501;41359501;OTROS PRODUCTOS
14;6;VENTA DE OTROS PRODUCTOS;5;13;N;14;6;41359502;41359502;EXPORTACION OTROS PRODUCTOS
14;6;VENTA DE OTROS PRODUCTOS;5;13;N;14;6;41359503;41359503;OTROS PRODUCTOS SNACKS MASCOTAS
15;6;REPUESTOS Y ACCESORIOS;3;2;N;?;?;?;?;?
16;6;ARRENDAMIENTOS DE BIENES INMUEBLES;4;608;N;?;?;?;?;?
17;6;ARRENDAMIENTOS DE BIENES  INMUEBLES;5;16;N;17;6;41550501;41550501;ARRENDAMIENTOS DE BIENES  INMUEBLES
18;6;MANTENIM. Y REP. MAQ. Y EQUIPO;4;610;N;?;?;?;?;?
19;6;MANTENIM. Y REP. MAQ. Y EQUIPO;5;18;N;19;6;41559002;41559002;MANTEN. Y REPAR.  EXTERIOR
19;6;MANTENIM. Y REP. MAQ. Y EQUIPO;5;18;N;19;6;41559001;41559001;MANTEN. Y REPAR.  MAQ. Y EQUIPO
20;6;VENTA MAQUINARIA;3;2;N;?;?;?;?;?
21;6;DEVOLUCIONES  EN VENTAS;4;609;N;?;?;?;?;?
22;6;DEVOLUCIONES  EN VENTAS;5;21;N;22;6;41750102;41750102;DEVOLUCIONES CON IVA
22;6;DEVOLUCIONES  EN VENTAS;5;21;N;22;6;41750110;41750110;DEVOLUCIONES SIN IVA
